"Title:","crashesnew.csv"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | Dodge | Ford | Honda | Lincoln | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37E4D48"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, Dodge, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Lincoln, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Lincoln, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1975",7606,2,392,1624,48,48,7446,2,390,1598,48,48,,
"02/1975",7018,6,366,1396,68,32,6920,6,360,1392,64,32,,
"03/1975",8156,6,438,1722,72,46,8002,6,434,1694,68,46,,
"04/1975",8144,8,412,1604,104,50,7952,8,406,1578,104,50,,
"05/1975",9964,4,488,1936,176,40,9682,4,484,1886,172,40,,
"06/1975",10114,10,536,1860,206,38,9830,10,532,1824,204,38,,
"07/1975",10462,10,530,2014,212,42,10188,10,512,1980,210,42,,
"08/1975",10742,4,546,2044,176,44,10450,4,532,2002,166,44,,
"09/1975",9750,,548,1964,198,30,9490,,536,1912,198,30,,
"10/1975",9916,8,546,1998,148,34,9614,8,528,1954,146,34,,
"11/1975",9722,4,510,2034,132,46,9470,4,498,1976,128,46,,
"12/1975",9468,8,546,1954,80,50,9264,8,534,1914,80,50,,
"01/1976",7498,4,432,1528,46,40,7342,4,420,1488,46,40,,
"02/1976",7402,6,378,1618,74,62,7248,6,370,1594,74,62,,
"03/1976",7868,10,392,1578,108,44,7698,10,384,1554,106,44,,
"04/1976",8682,2,472,1692,112,38,8464,2,456,1670,112,38,,
"05/1976",10150,4,508,2002,210,52,9930,4,498,1962,206,52,,
"06/1976",9750,10,476,1910,150,54,9494,10,464,1856,144,54,,
"07/1976",11222,8,536,2188,230,72,10956,8,528,2158,228,72,,
"08/1976",10714,16,588,2148,248,46,10506,14,574,2114,246,42,,
"09/1976",9900,12,488,1974,190,44,9736,12,480,1944,188,44,,
"10/1976",10506,14,546,2034,146,48,10282,14,540,1986,144,48,,
"11/1976",8676,12,452,1860,122,44,8512,10,444,1840,122,44,,
"12/1976",9800,16,516,1960,114,66,9668,16,510,1936,114,66,,
"01/1977",7026,4,358,1448,104,34,6916,4,358,1438,104,34,,
"02/1977",7342,12,410,1552,96,58,7202,12,406,1538,96,56,,
"03/1977",8820,16,478,1916,188,54,8658,16,474,1890,188,54,,
"04/1977",9358,14,434,1856,268,34,9216,14,430,1834,268,34,,
"05/1977",10172,8,504,1978,378,42,10022,8,504,1946,378,42,,
"06/1977",10940,14,566,2034,392,58,10702,14,556,1992,392,58,,
"07/1977",12304,16,596,2320,602,52,12008,16,584,2280,602,52,,
"08/1977",11718,16,602,2258,416,52,11528,16,596,2224,416,52,,
"09/1977",10670,18,576,2018,346,42,10430,18,570,1972,346,42,,
"10/1977",11464,24,562,2320,294,56,11248,24,554,2296,294,56,,
"11/1977",10518,16,512,2246,196,74,10346,16,508,2200,196,74,,
